baseline_fail_experiment_pass,baseline_mean,baseline_pass_experiment_fail,both_fail,both_pass,case_count,ci_95_high,ci_95_low,conclusive,experiment_id,experiment_mean,mean_difference,metric
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,RRF_K100,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,RRF_K100,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,RRF_K100,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,1716.55554411486,1137.0796705857229,True,RRF_K100,2554.158029410139,1409.6873705870273,total_latency
,1141.1764705882354,,,,34,15.382352941176471,-11.794117647058824,False,RRF_K100,1141.8235294117646,0.6470588235294118,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,RRF_K30,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,RRF_K30,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,RRF_K30,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,RRF_K30,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,1955.0058411764708,1186.507288234305,True,RRF_K30,2694.2756088221145,1549.804949999003,total_latency
,1141.1764705882354,,,,34,15.382352941176471,-11.794117647058824,False,RRF_K30,1141.8235294117646,0.6470588235294118,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,RRF_K60,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,RRF_K60,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,RRF_K60,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,RRF_K60,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,2026.959500001206,1401.0600176475505,True,RRF_K60,2857.741826470695,1713.271167647583,total_latency
,1141.1764705882354,,,,34,15.382352941176471,-11.794117647058824,False,RRF_K60,1141.8235294117646,0.6470588235294118,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,WRRF_D1.5_B1,0.3,-0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,2,17,9,30,0.13333333333333333,-0.13333333333333333,False,WRRF_D1.5_B1,0.36666666666666664,0.0,all_reports_hit
,0.46111111111111114,,,,30,0.07222222222222222,-0.1388888888888889,False,WRRF_D1.5_B1,0.4388888888888889,-0.022222222222222223,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.053921568627450976,False,WRRF_D1.5_B1,0.29411764705882354,-0.004901960784313727,macro_mrr
