all_reports_hit,case_count,category,category_type,complete_evidence_recall,evidence_recall,experiment_id,macro_mrr
0.75,4,April 2025 vs October 2025,report_pair,0.0,0.375,STRUCT_CANDIDATE_2,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.0,0.0,STRUCT_CANDIDATE_2,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.3333333333333333,0.3333333333333333,STRUCT_CANDIDATE_2,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.125,STRUCT_CANDIDATE_2,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.0,0.2222222222222222,STRUCT_CANDIDATE_2,0.26851851851851855
,4,unsupported,report_pair,,,STRUCT_CANDIDATE_2,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,STRUCT_CANDIDATE_2,0.5
0.0,2,mixed,source_structure,0.0,0.0,STRUCT_CANDIDATE_2,0.0
0.4074074074074074,30,narrative,source_structure,0.07407407407407407,0.19753086419753085,STRUCT_CANDIDATE_2,0.32037037037037036
0.5,2,core_inflation,topic,0.0,0.0,STRUCT_CANDIDATE_2,0.16666666666666666
0.6,5,food_inflation,topic,0.0,0.1,STRUCT_CANDIDATE_2,0.4083333333333333
0.0,6,growth,topic,0.0,0.0,STRUCT_CANDIDATE_2,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,STRUCT_CANDIDATE_2,0.0
0.5454545454545454,14,other,topic,0.18181818181818182,0.3939393939393939,STRUCT_CANDIDATE_2,0.4880952380952381
0.4,6,policy_rate,topic,0.0,0.2,STRUCT_CANDIDATE_2,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.0,0.125,STRUCT_CANDIDATE_3,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.25,0.25,STRUCT_CANDIDATE_3,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.0,0.16666666666666666,STRUCT_CANDIDATE_3,0.26851851851851855
,4,unsupported_period,query_type,,,STRUCT_CANDIDATE_3,0.0
0.4,34,single_facet,question_structure,0.1,0.18333333333333332,STRUCT_CANDIDATE_3,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.0,STRUCT_CANDIDATE_3,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.0,0.125,STRUCT_CANDIDATE_3,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.16666666666666666,0.16666666666666666,STRUCT_CANDIDATE_3,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.3333333333333333,0.3333333333333333,STRUCT_CANDIDATE_3,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.25,STRUCT_CANDIDATE_3,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.0,0.16666666666666666,STRUCT_CANDIDATE_3,0.26851851851851855
,4,unsupported,report_pair,,,STRUCT_CANDIDATE_3,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,STRUCT_CANDIDATE_3,0.5
0.0,2,mixed,source_structure,0.0,0.0,STRUCT_CANDIDATE_3,0.0
0.4074074074074074,30,narrative,source_structure,0.1111111111111111,0.18518518518518517,STRUCT_CANDIDATE_3,0.32037037037037036
0.5,2,core_inflation,topic,0.0,0.0,STRUCT_CANDIDATE_3,0.16666666666666666
0.6,5,food_inflation,topic,0.4,0.6666666666666667,STRUCT_CANDIDATE_3,0.4083333333333333
0.0,6,growth,topic,0.0,0.0,STRUCT_CANDIDATE_3,0.020833333333333332
0.0,1,inflation,topic,0.0,0.0,STRUCT_CANDIDATE_3,0.0
0.5454545454545454,14,other,topic,0.09090909090909091,0.13636363636363635,STRUCT_CANDIDATE_3,0.4880952380952381
0.4,6,policy_rate,topic,0.0,0.13333333333333333,STRUCT_CANDIDATE_3,0.21296296296296294
0.3333333333333333,12,pairwise_comparison,query_type,0.0,0.041666666666666664,SW01,0.3819444444444444
0.5833333333333334,12,single_report,query_type,0.16666666666666666,0.16666666666666666,SW01,0.3680555555555556
0.16666666666666666,6,trend_all_reports,query_type,0.0,0.1111111111111111,SW01,0.26851851851851855
,4,unsupported_period,query_type,,,SW01,0.0
0.4,34,single_facet,question_structure,0.06666666666666667,0.10555555555555556,SW01,0.31209150326797386
0.0,4,April 2025 vs April 2026,report_pair,0.0,0.0,SW01,0.25
0.75,4,April 2025 vs October 2025,report_pair,0.0,0.0,SW01,0.5416666666666666
0.3333333333333333,6,April 2026,report_pair,0.16666666666666666,0.16666666666666666,SW01,0.13888888888888887
0.8333333333333334,6,October 2025,report_pair,0.16666666666666666,0.16666666666666666,SW01,0.5972222222222222
0.25,4,October 2025 vs April 2026,report_pair,0.0,0.125,SW01,0.3541666666666667
0.16666666666666666,6,all three reports,report_pair,0.0,0.1111111111111111,SW01,0.26851851851851855
,4,unsupported,report_pair,,,SW01,0.0
0.5,2,chart_or_figure,source_structure,0.0,0.25,SW01,0.5
0.0,2,mixed,source_structure,0.0,0.0,SW01,0.0
