absolute_difference,baseline_estimate,baseline_wins,ci_95_high,ci_95_low,conclusive,experiment_estimate,experiment_id,experiment_wins,metric,relative_difference,sample_size,ties
1008.5182235172183,3207.377491183305,4,1480.8947823373328,594.5910146949566,True,4215.895714700523,STRUCT_CANDIDATE_1,30,median_latency,0.314437020989738,34,0
277.61764705882354,1897.8823529411766,10,477.6470588235294,78.8529411764706,True,2175.5,STRUCT_CANDIDATE_1,20,estimated_context_tokens,0.1462775849243739,34,4
-0.3,0.36666666666666664,9,-0.16666666666666666,-0.4666666666666667,True,0.06666666666666667,STRUCT_CANDIDATE_2,0,complete_evidence_recall,-0.8181818181818182,30,21
0.0,0.4,0,0.0,0.0,False,0.4,STRUCT_CANDIDATE_2,0,all_reports_hit,0.0,30,30
-0.3111111111111111,0.5055555555555555,15,-0.18333333333333332,-0.4444444444444445,True,0.19444444444444445,STRUCT_CANDIDATE_2,0,evidence_recall,-0.6153846153846154,30,15
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,STRUCT_CANDIDATE_2,0,macro_mrr,0.0,34,34
1507.8702794066082,3207.377491183305,0,1987.675632336451,1084.7336411722663,True,4715.247770589914,STRUCT_CANDIDATE_2,34,median_latency,0.4701256037219074,34,0
-133.3235294117647,1897.8823529411766,23,-63.88235294117647,-204.05882352941177,True,1764.5588235294117,STRUCT_CANDIDATE_2,6,estimated_context_tokens,-0.07024857426233572,34,5
-0.26666666666666666,0.36666666666666664,8,-0.13333333333333333,-0.43333333333333335,True,0.1,STRUCT_CANDIDATE_3,0,complete_evidence_recall,-0.7272727272727273,30,22
0.0,0.4,0,0.0,0.0,False,0.4,STRUCT_CANDIDATE_3,0,all_reports_hit,0.0,30,30
-0.3222222222222222,0.5055555555555555,14,-0.1888888888888889,-0.46111111111111114,True,0.18333333333333332,STRUCT_CANDIDATE_3,0,evidence_recall,-0.6373626373626373,30,16
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,STRUCT_CANDIDATE_3,0,macro_mrr,0.0,34,34
1040.2039793946587,3207.377491183305,1,1495.4771940897713,654.9710352607208,True,4247.581470577964,STRUCT_CANDIDATE_3,33,median_latency,0.32431604394994173,34,0
-1517.7941176470588,1897.8823529411766,30,-1277.764705882353,-1773.5588235294117,True,380.0882352941176,STRUCT_CANDIDATE_3,0,estimated_context_tokens,-0.7997303496156707,34,4
-0.3,0.36666666666666664,9,-0.13333333333333333,-0.4666666666666667,True,0.06666666666666667,SW01,0,complete_evidence_recall,-0.8181818181818182,30,21
0.0,0.4,0,0.0,0.0,False,0.4,SW01,0,all_reports_hit,0.0,30,30
-0.4,0.5055555555555555,16,-0.2555555555555556,-0.5444444444444444,True,0.10555555555555556,SW01,0,evidence_recall,-0.7912087912087913,30,14
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,SW01,0,macro_mrr,0.0,34,34
-768.2650235313786,3207.377491183305,33,-617.1654323458342,-925.329488243305,True,2439.1124676519266,SW01,1,median_latency,-0.2395305902230862,34,0
-1663.4705882352941,1897.8823529411766,30,-1402.2941176470588,-1939.5882352941176,True,234.41176470588235,SW01,0,estimated_context_tokens,-0.8764877262583685,34,4
-0.26666666666666666,0.36666666666666664,8,-0.13333333333333333,-0.43333333333333335,True,0.1,SW02,0,complete_evidence_recall,-0.7272727272727273,30,22
0.0,0.4,0,0.0,0.0,False,0.4,SW02,0,all_reports_hit,0.0,30,30
-0.3222222222222222,0.5055555555555555,14,-0.1888888888888889,-0.46111111111111114,True,0.18333333333333332,SW02,0,evidence_recall,-0.6373626373626373,30,16
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,SW02,0,macro_mrr,0.0,34,34
-524.2920882506844,3207.377491183305,31,-234.3212117694373,-755.7443588448223,True,2683.0854029326206,SW02,3,median_latency,-0.16346441592606428,34,0
-1517.7941176470588,1897.8823529411766,30,-1277.764705882353,-1773.5588235294117,True,380.0882352941176,SW02,0,estimated_context_tokens,-0.7997303496156707,34,4
-0.16666666666666666,0.36666666666666664,5,-0.03333333333333333,-0.3,True,0.2,SW03,0,complete_evidence_recall,-0.45454545454545453,30,25
0.0,0.4,0,0.0,0.0,False,0.4,SW03,0,all_reports_hit,0.0,30,30
-0.2,0.5055555555555555,10,-0.08888888888888888,-0.3222222222222222,True,0.3055555555555555,SW03,0,evidence_recall,-0.39560439560439564,30,20
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,SW03,0,macro_mrr,0.0,34,34
-55.092376466799415,3207.377491183305,21,136.23937352916553,-232.48032941174802,False,3152.2851147165056,SW03,13,median_latency,-0.017176767193210568,34,0
285.9117647058824,1897.8823529411766,1,374.11764705882354,206.2941176470588,True,2183.794117647059,SW03,29,estimated_context_tokens,0.15064778080833127,34,4
